model,dataset,precision,recall,f1,avg_time,examples_per_sec,cost,prompt_tokens,completion_tokens
spacy,conll2003,0.6957831325301205,0.525,0.5984455958549222,0.0032855056660000006,304.3671512572579,,,
gliner,conll2003,0.6804008908685969,0.6943181818181818,0.6872890888638921,0.03985633266800001,25.09011574973338,,,
llama-3.1-8b,conll2003,0.13636363636363635,0.06477272727272727,0.08782742681047766,1.54095381275,0.6489487171684861,,0.0,0.0
qwen-2.5-7b,conll2003,0.06607929515418502,0.03409090909090909,0.044977511244377814,1.6412140703340001,0.6093050370915307,,0.0,0.0
