system,n_examples,em,f1,avg_graph_time_sec,total_graph_time_sec,examples_per_sec,avg_graph_nodes,avg_graph_edges,ner_prompt_tokens,ner_completion_tokens,gen_prompt_tokens,gen_completion_tokens,total_prompt_tokens,total_completion_tokens,breakdown
LinearRAG_src (SpaCy),1500,0.09533333333333334,0.21053656551486127,0.07394065608767171,110.91098413150758,13.52435930260473,13.324666666666667,27.985333333333333,0,0,0,0,0,0,"{'nq': {'n': 500, 'em': 0.182, 'f1': 0.33697747158035724}, 'hotpotqa': {'n': 500, 'em': 0.082, 'f1': 0.2095042643942344}, 'musique': {'n': 500, 'em': 0.022, 'f1': 0.08512796056999213}}"
LinearRAG_NLP (GLiNER),1500,0.102,0.22303434466736474,0.6484087955607102,972.6131933410652,1.5422369450359663,15.844666666666667,30.855333333333334,0,0,0,0,0,0,"{'nq': {'n': 500, 'em': 0.174, 'f1': 0.3348860174653484}, 'hotpotqa': {'n': 500, 'em': 0.104, 'f1': 0.24158400573330369}, 'musique': {'n': 500, 'em': 0.028, 'f1': 0.09263301080344209}}"
LinearRAG_LLM (Llama),1500,0.09933333333333333,0.20674512239492995,13.93417415109525,20901.261226642877,0.07176600415327794,0.020666666666666667,0.10266666666666667,0,0,0,0,0,0,"{'nq': {'n': 500, 'em': 0.184, 'f1': 0.3293424878221473}, 'hotpotqa': {'n': 500, 'em': 0.088, 'f1': 0.21063096694134836}, 'musique': {'n': 500, 'em': 0.026, 'f1': 0.08026191242129427}}"
LinearRAG_LLM (Qwen),1500,0.09933333333333333,0.20674512239492995,13.066481899481577,19599.722849222366,0.07653169442952168,0.0,0.0,0,0,0,0,0,0,"{'nq': {'n': 500, 'em': 0.184, 'f1': 0.3293424878221473}, 'hotpotqa': {'n': 500, 'em': 0.088, 'f1': 0.21063096694134836}, 'musique': {'n': 500, 'em': 0.026, 'f1': 0.08026191242129427}}"
